Timestamp,In_Temp,Out_Temp,In_Press,Out_Press,In_Hum,Out_Hum,Pump_Temp,SB_Temp,Gps_X,Gps_Y,Gps_altitude,O3_1_ref,O3_1_voltage,O3_2_ref,O3_2_voltage,CO2_1_ref,CO2_2_voltage,CO2_2_ref,CO2_2_voltage,Data_acq,cycle_id,cycle_duration,stage1_duration,stage2_duration,stage3_duration,stage1_start,stage2_start,stage3_start,valve_1,valve_2,heater_1,heater_2,pump,stage_1,stage_2,stage_3
1.63154E+12,14.92,13.36,1135.7,1002.2,14,4,19.29,17.85,0,0,0,4544,4548,4548,1767,20932,20335,20769,20932,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.92,13.38,1135.7,1002,14,4,19.39,17.83,0,0,0,4545,4548,4548,1763,21189,20716,20822,21189,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.92,13.37,1136,1003.3,14,4,19.25,17.83,0,0,0,4548,4544,4544,1761,20076,20185,19978,20076,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.93,13.39,1135.7,1002,14,4,19.51,17.73,0,0,0,4545,4548,4548,1771,18861,19468,19068,18861,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.93,13.38,1135.2,1002.3,14,4,19.51,17.99,0,0,0,4549,4547,4547,1768,19023,19304,19330,19023,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.94,13.39,1135.7,1002.5,14,4,19.19,17.85,0,0,0,4548,4550,4550,1758,20515,20082,20457,20515,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.94,13.4,1135.8,1005,14,4,19.25,17.99,0,0,0,4547,4544,4544,1761,21347,20732,20964,21347,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.96,13.4,1136.6,1002.2,14,4,19.33,17.85,0,0,0,4549,4547,4547,1770,20274,20293,20121,20274,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.96,13.39,1135.8,1003.1,14,4,19.35,17.85,0,0,0,4547,4546,4546,1765,18859,19465,19066,18859,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.96,13.41,1135.8,1003.4,14,4,19.23,17.67,0,0,0,4547,4545,4545,1776,19034,19306,19322,19034,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.96,13.4,1136,1001.7,14,4,19.25,17.67,0,0,0,4546,4545,4545,1766,20356,19992,20340,20356,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.96,13.41,1136,1002.8,14,4,19.41,17.75,0,0,0,4544,4544,4544,1770,21367,20700,21001,21367,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.98,13.42,1136.6,1003.9,14,4,19.35,17.83,0,0,0,4547,4546,4546,1777,20500,20406,20288,20500,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.98,13.42,1136.1,1003.1,14,4,19.45,17.75,0,0,0,4548,4547,4547,1779,19048,19588,19187,19048,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.98,13.42,1135.5,1003.7,14,4,19.41,17.85,0,0,0,4548,4544,4544,1757,18812,19227,19156,18812,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.98,13.43,1135.3,1002.6,14,4,19.39,17.89,0,0,0,4545,4545,4545,1769,20224,19924,20226,20224,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.99,13.44,1135.8,1002,14,4,19.55,17.95,0,0,0,4544,4545,4545,1769,21356,20674,21007,21356,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.99,13.44,1136.1,1001.7,14,4,19.47,17.89,0,0,0,4544,4546,4546,1759,20620,20467,20380,20620,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,14.99,13.44,1136.1,1001.7,14,4,19.13,17.79,0,0,0,4544,4547,4547,1767,19235,19700,19322,19235,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15,13.44,1136.1,1002.6,15,4,19.39,17.95,0,0,0,4543,4545,4545,1770,18668,19201,19023,18668,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15,13.44,1135,1001.5,15,4,19.25,17.95,0,0,0,4545,4545,4545,1770,19566,19561,19749,19566,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.01,13.46,1136.4,1002.3,15,4,19.25,17.93,0,0,0,4548,4546,4546,1779,21021,20392,20843,21021,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.01,13.46,1135.9,1000.9,15,4,19.47,17.99,0,0,0,4542,4546,4546,1772,21128,20692,20775,21128,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.01,13.46,1135.6,1002.8,15,4,19.47,17.83,0,0,0,4542,4545,4545,1766,19817,20041,19773,19817,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.01,13.48,1135.9,1002.9,15,4,19.29,17.95,0,0,0,4545,4546,4546,1769,18674,19303,18966,18674,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.02,13.47,1136.4,1003.1,15,4,19.39,18.05,0,0,0,4541,4547,4547,1762,19272,19414,19521,19272,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.02,13.47,1135.9,1001.8,15,4,19.61,17.85,0,0,0,4548,4547,4547,1777,20708,20196,20607,20708,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.03,13.48,1135.6,1003.2,15,4,19.39,18.21,0,0,0,4543,4545,4545,1777,21330,20744,20949,21330,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.04,13.48,1135.1,1002.6,15,4,19.41,18.11,0,0,0,4547,4547,4547,1769,20273,20293,20115,20273,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.04,13.49,1135.4,1002.9,15,4,19.51,17.95,0,0,0,4543,4544,4544,1765,18885,19480,19083,18885,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.04,13.49,1135.9,1002.6,15,4,19.55,18.11,0,0,0,4546,4547,4547,1773,18975,19284,19287,18975,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.05,13.51,1135.4,1002.6,15,4,19.55,18.05,0,0,0,4545,4545,4545,1767,20418,20026,20384,20418,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.05,13.5,1135.6,1002.1,15,4,19.55,18.05,0,0,0,4544,4547,4547,1762,21359,20706,20986,21359,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.06,13.51,1135.7,1002.9,15,4,19.51,17.95,0,0,0,4544,4546,4546,1765,20482,20402,20277,20482,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.07,13.52,1135.9,1003.7,15,4,19.35,18.17,0,0,0,4545,4547,4547,1772,18987,19568,19172,18987,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.07,13.52,1135.4,1002.1,15,4,19.41,17.95,0,0,0,4546,4544,4544,1763,18853,19240,19192,18853,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.07,13.52,1135.1,1002.6,15,4,19.19,18.11,0,0,0,4544,4546,4546,1770,20230,19918,20244,20230,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.07,13.53,1135.2,1002.4,15,4,19.51,18.09,0,0,0,4544,4547,4547,1765,21363,20684,21000,21363,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.08,13.53,1135.2,1002.1,15,4,19.57,17.85,0,0,0,4545,4544,4544,1771,20588,20453,20353,20588,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.08,13.54,1136.2,1003.5,15,4,19.39,17.99,0,0,0,4540,4541,4541,1776,19148,19652,19261,19148,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.08,13.54,1136.5,1002.6,15,4,19.57,18.05,0,0,0,4543,4544,4544,1773,18733,19197,19111,18733,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.08,13.54,1135.2,1002.6,15,4,19.47,18.17,0,0,0,4544,4542,4542,1772,20198,19902,20220,20198,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.09,13.54,1135.4,1002.4,15,4,19.55,18.17,0,0,0,4545,4545,4545,1769,21362,20688,21004,21362,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.1,13.54,1135.7,1002.1,15,4,19.47,18.09,0,0,0,4545,4544,4544,1773,20596,20458,20356,20596,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.1,13.55,1135.7,1003.5,15,4,19.23,18.01,0,0,0,4544,4543,4543,1778,19148,19648,19256,19148,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.1,13.55,1135.7,1003.5,15,4,19.67,18.25,0,0,0,4543,4544,4544,1769,18791,19221,19139,18791,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.1,13.56,1135.2,1002.1,15,4,19.55,18.05,0,0,0,4543,4544,4544,1772,20045,19816,20111,20045,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
1.63154E+12,15.11,13.57,1135.5,1002.7,15,4,19.55,18.09,0,0,0,4544,4544,4544,1782,21254,20559,20967,21254,0,2,270364,240316,1,30047,1.63154E+12,1.63154E+12,1.63154E+12,1,1,0,0,1,1,0,0
